822,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
6872,Great Expectations (1946)
1090,Raging Bull (1980)
1114,"Treasure of the Sierra Madre, The (1948)"
3051,Modern Times (1936)
4657,Rashomon (Rashômon) (1950)
3057,"Hustler, The (1961)"
6219,Swimming to Cambodia (1987)
1074,"Third Man, The (1949)"
3295,"Ace in the Hole (Big Carnival, The) (1951)"
3197,"Gold Rush, The (1925)"
1675,"Lost Weekend, The (1945)"
4574,"Magnificent Ambersons, The (1942)"
1136,Cool Hand Luke (1967)
9418,"Artist, The (2011)"
1756,Seven Samurai (Shichinin no samurai) (1954)
1152,Being There (1979)
1067,Lawrence of Arabia (1962)
1087,Amadeus (1984)
2601,Days of Heaven (1978)
2630,"Straight Story, The (1999)"
8272,There Will Be Blood (2007)
1682,On the Waterfront (1954)
826,All About Eve (1950)
3895,"Man Who Shot Liberty Valance, The (1962)"
4529,"Bad and the Beautiful, The (1952)"
6363,"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)"
1071,Once Upon a Time in the West (C'era una volta il West) (1968)
623,Some Folks Call It a Sling Blade (1993)
4554,Wild Strawberries (Smultronstället) (1957)
10042,"Grand Budapest Hotel, The (2014)"
4484,Seconds (1966)
4699,Lenny (1974)
809,"Apartment, The (1960)"
2025,"Elephant Man, The (1980)"
1098,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
2409,Barry Lyndon (1975)
2927,"Kid, The (1921)"
1107,"Graduate, The (1967)"
6259,Monster in a Box (1992)
2974,Bound for Glory (1976)
2924,City Lights (1931)
6466,Safety Last! (1923)
5684,Paper Moon (1973)
1162,"Man Who Would Be King, The (1975)"
1514,Kundun (1997)
1143,High Noon (1952)
4834,Red Beard (Akahige) (1965)
3027,Double Indemnity (1944)
1079,Ran (1985)
5727,"Brief History of Time, A (1991)"
6401,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)"
1111,8 1/2 (8½) (1963)
5871,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)"
2604,Sullivan's Travels (1941)
805,It Happened One Night (1934)
1066,12 Angry Men (1957)
1112,Chinatown (1974)
5954,Stagecoach (1939)
4328,"Man Who Wasn't There, The (2001)"
7547,No Direction Home: Bob Dylan (2005)
804,Rear Window (1954)
1057,One Flew Over the Cuckoo's Nest (1975)
107,Taxi Driver (1976)
9546,Jiro Dreams of Sushi (2011)
1140,Raise the Red Lantern (Da hong deng long gao gao gua) (1991)
6428,Sunrise: A Song of Two Humans (1927)
1802,Out of the Past (1947)
5952,Red River (1948)
6544,"Picture of Dorian Gray, The (1945)"
6838,"Steamboat Bill, Jr. (1928)"
3056,Hud (1963)
3090,Network (1976)
6376,"Killers, The (1946)"
7038,35 Up (1991)
4401,"Blue Angel, The (Blaue Engel, Der) (1930)"
290,Three Colors: Red (Trois couleurs: Rouge) (1994)
2405,"Killing, The (1956)"
973,"Old Man and the Sea, The (1958)"
6442,"Dolce Vita, La (1960)"
1697,"Last Emperor, The (1987)"
2410,"400 Blows, The (Les quatre cents coups) (1959)"
2690,Yojimbo (1961)
302,"Shawshank Redemption, The (1994)"
7227,"Aviator, The (2004)"
3138,Limelight (1952)
9887,Louis C.K.: Oh My God (2013)
10129,Birdman (2014)
6078,"Strada, La (1954)"
803,Vertigo (1958)
1108,Touch of Evil (1958)
3918,Sweet Smell of Success (1957)
6832,Greed (1924)
849,East of Eden (1955)
6562,"Matter of Life and Death, A (Stairway to Heaven) (1946)"
3551,Pollock (2000)
2698,"Face in the Crowd, A (1957)"
8213,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
3300,Badlands (1973)
6368,Zelig (1983)
